subject,stimulus,corr,fa,hit,miss,z_hit,z_miss,z_fa,z_corr,d_prime,condition,participant,precision,recall,ff1
p02,stim_min_3,1,0,4,0,2.8254956050867674,-2.462083603394306,-0.2672612419124244,-0.3922322702763679,3.0927568469991917,no_boundary,p02,1.0,1.0,1.0
p02a,stim_maj_1,1,0,2,1,0.8310281191431669,-1.5827680307534824,-0.2672612419124244,-0.3922322702763679,1.0982893610555913,no_boundary,p02,1.0,0.6666666666666666,0.8
p02a,stim_maj_2,1,0,2,2,0.8310281191431669,-0.7034524581126588,-0.2672612419124244,-0.3922322702763679,1.0982893610555913,no_boundary,p02,1.0,0.5,0.6666666666666666
p02a,stim_maj_3,2,0,2,2,0.8310281191431669,-0.7034524581126588,-0.2672612419124244,1.0786387432600122,1.0982893610555913,no_boundary,p02,1.0,0.5,0.6666666666666666
p02a,stim_min_1,1,0,0,4,-1.163439366800434,1.0551786871689885,-0.2672612419124244,-0.3922322702763679,-0.8961781248880095,no_boundary,p02,,0.0,
p02a,stim_min_2,2,0,1,3,-0.16620562382863346,0.1758631145281649,-0.2672612419124244,1.0786387432600122,0.10105561808379093,no_boundary,p02,1.0,0.25,0.4
p02a,stim_min_3,1,0,2,2,0.8310281191431669,-0.7034524581126588,-0.2672612419124244,-0.3922322702763679,1.0982893610555913,no_boundary,p02,1.0,0.5,0.6666666666666666
p03,stim_maj_1,0,0,0,3,-1.163439366800434,0.1758631145281649,-0.2672612419124244,-1.863103283812748,-0.8961781248880095,no_boundary,p03,,0.0,
p03,stim_maj_2,0,1,1,3,-0.16620562382863346,0.1758631145281649,3.7416573867739413,-1.863103283812748,-3.9078630106025747,no_boundary,p03,0.5,0.25,0.3333333333333333
p03,stim_maj_3,2,0,1,3,-0.16620562382863346,0.1758631145281649,-0.2672612419124244,1.0786387432600122,0.10105561808379093,no_boundary,p03,1.0,0.25,0.4
p03,stim_min_1,1,1,0,4,-1.163439366800434,1.0551786871689885,3.7416573867739413,-0.3922322702763679,-4.905096753574375,no_boundary,p03,0.0,0.0,0.0
p03,stim_min_2,1,0,1,3,-0.16620562382863346,0.1758631145281649,-0.2672612419124244,-0.3922322702763679,0.10105561808379093,no_boundary,p03,1.0,0.25,0.4
p03,stim_min_3,1,0,1,3,-0.16620562382863346,0.1758631145281649,-0.2672612419124244,-0.3922322702763679,0.10105561808379093,no_boundary,p03,1.0,0.25,0.4
p03a,stim_maj_1,0,0,1,2,-0.16620562382863346,-0.7034524581126588,-0.2672612419124244,-1.863103283812748,0.10105561808379093,no_boundary,p03,1.0,0.3333333333333333,0.5
p03a,stim_maj_2,2,0,2,2,0.8310281191431669,-0.7034524581126588,-0.2672612419124244,1.0786387432600122,1.0982893610555913,no_boundary,p03,1.0,0.5,0.6666666666666666
p03a,stim_maj_3,2,0,2,2,0.8310281191431669,-0.7034524581126588,-0.2672612419124244,1.0786387432600122,1.0982893610555913,no_boundary,p03,1.0,0.5,0.6666666666666666
p03a,stim_min_1,2,0,0,4,-1.163439366800434,1.0551786871689885,-0.2672612419124244,1.0786387432600122,-0.8961781248880095,no_boundary,p03,,0.0,
p03a,stim_min_2,2,0,1,3,-0.16620562382863346,0.1758631145281649,-0.2672612419124244,1.0786387432600122,0.10105561808379093,no_boundary,p03,1.0,0.25,0.4
p03a,stim_min_3,2,0,1,3,-0.16620562382863346,0.1758631145281649,-0.2672612419124244,1.0786387432600122,0.10105561808379093,no_boundary,p03,1.0,0.25,0.4
