,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes,time_difference,block,condition_number,trial_number,condition_n,trial_n,signal_theory
1388,8.507,391.995436,17.5,0,0.0,stim_min_2,sub21,melody,2024-04-09,17-01-44,1,1,0,1,-8.507,experiment,1109,22,2,13,corr
1409,16.01,523.2511306,1.0,1,16.608,stim_min_2,sub21,melody,2024-04-09,17-01-44,1,1,1,1,0.597999999999999,experiment,1130,43,2,13,hit
1440,28.007,880.0,-17.5,1,28.564,stim_min_2,sub21,melody,2024-04-09,17-01-44,1,0,1,1,0.5569999999999986,experiment,1161,74,2,13,hit
1450,32.504,261.6255653,1.0,0,0.0,stim_min_2,sub21,melody,2024-04-09,17-01-44,1,1,1,1,-32.504,experiment,1171,84,2,13,miss
1456,36.013,261.6255653,17.5,0,0.0,stim_min_2,sub21,melody,2024-04-09,17-01-44,1,0,1,1,-36.013,experiment,1177,90,2,13,miss
1462,40.001,261.6255653,1.0,0,0.0,stim_min_2,sub21,melody,2024-04-09,17-01-44,1,1,1,1,-40.001,experiment,1183,96,2,13,miss
1473,48.012,391.995436,-17.5,1,48.712,stim_min_2,sub21,melody,2024-04-09,17-01-44,1,1,1,1,0.7000000000000028,experiment,1194,107,2,13,hit
1486,57.016,391.995436,1.0,0,0.0,stim_min_2,sub21,melody,2024-04-09,17-01-44,1,1,0,1,-57.016,experiment,1207,120,2,13,corr
1500,2.006,246.9416506,1.0,0,0.0,stim_min_6,sub21,melody,2024-04-09,17-02-54,1,0,1,1,-2.006,experiment,1221,5,2,14,miss
1512,6.008,493.8833013,17.5,0,0.0,stim_min_6,sub21,melody,2024-04-09,17-02-54,1,0,1,1,-6.008,experiment,1233,17,2,14,miss
1517,8.014,523.2511306,1.0,0,0.0,stim_min_6,sub21,melody,2024-04-09,17-02-54,1,1,1,1,-8.014,experiment,1238,22,2,14,miss
1535,16.018,523.2511306,1.0,0,0.0,stim_min_6,sub21,melody,2024-04-09,17-02-54,1,1,1,1,-16.018,experiment,1256,40,2,14,miss
1548,21.012,391.995436,17.5,0,0.0,stim_min_6,sub21,melody,2024-04-09,17-02-54,1,0,1,1,-21.012,experiment,1269,53,2,14,miss
1555,24.002,261.6255653,1.0,0,0.0,stim_min_6,sub21,melody,2024-04-09,17-02-54,1,1,1,1,-24.002,experiment,1276,60,2,14,miss
1567,28.018,698.4564629,-17.5,1,28.346,stim_min_6,sub21,melody,2024-04-09,17-02-54,1,0,1,1,0.3279999999999994,experiment,1288,72,2,14,hit
1581,32.004,391.995436,-17.5,0,0.0,stim_min_6,sub21,melody,2024-04-09,17-02-54,1,1,0,1,-32.004,experiment,1302,86,2,14,corr
1595,36.004,261.6255653,-17.5,0,0.0,stim_min_6,sub21,melody,2024-04-09,17-02-54,1,0,0,1,-36.004,experiment,1316,100,2,14,corr
1606,40.003,261.6255653,-17.5,0,0.0,stim_min_6,sub21,melody,2024-04-09,17-02-54,1,1,0,1,-40.003,experiment,1327,111,2,14,corr
1674,5.005,329.6275569,1.0,1,5.954,stim_maj_6,sub21,melody,2024-04-09,17-04-04,1,0,1,1,0.9489999999999998,experiment,1395,19,2,15,hit
1681,7.013,261.6255653,17.5,0,0.0,stim_maj_6,sub21,melody,2024-04-09,17-04-04,1,0,1,1,-7.013,experiment,1402,26,2,15,miss
1689,11.007,329.6275569,1.0,0,0.0,stim_maj_6,sub21,melody,2024-04-09,17-04-04,1,0,1,1,-11.007,experiment,1410,34,2,15,miss
1704,16.002,391.995436,1.0,0,0.0,stim_maj_6,sub21,melody,2024-04-09,17-04-04,1,1,0,1,-16.002,experiment,1425,49,2,15,corr
1729,24.016,659.2551138,-17.5,1,24.731,stim_maj_6,sub21,melody,2024-04-09,17-04-04,1,1,1,1,0.7150000000000034,experiment,1450,74,2,15,hit
1741,28.015,349.2282314,-17.5,0,0.0,stim_maj_6,sub21,melody,2024-04-09,17-04-04,1,0,0,1,-28.015,experiment,1462,86,2,15,corr
1774,40.005,329.6275569,1.0,1,40.799,stim_maj_6,sub21,melody,2024-04-09,17-04-04,1,1,1,1,0.7939999999999969,experiment,1495,119,2,15,hit
1827,56.023,261.6255653,-17.5,1,56.785,stim_maj_6,sub21,melody,2024-04-09,17-04-04,1,1,1,1,0.7619999999999933,experiment,1548,172,2,15,hit
1835,60.002,523.2511306,1.0,0,0.0,stim_maj_6,sub21,melody,2024-04-09,17-04-04,1,0,1,1,-60.002,experiment,1556,180,2,15,miss
1881,14.01,391.995436,1.0,1,14.772,stim_maj_4,sub21,melody,2024-04-09,17-05-14,1,0,1,1,0.7620000000000005,experiment,1602,42,2,16,hit
1910,24.007,329.6275569,1.0,0,0.0,stim_maj_4,sub21,melody,2024-04-09,17-05-14,1,1,1,1,-24.007,experiment,1631,71,2,16,miss
1932,32.003,523.2511306,-17.5,0,0.0,stim_maj_4,sub21,melody,2024-04-09,17-05-14,1,1,0,1,-32.003,experiment,1653,93,2,16,corr
1937,36.003,587.3295358,1.0,1,36.968,stim_maj_4,sub21,melody,2024-04-09,17-05-14,1,0,1,1,0.9650000000000034,experiment,1658,98,2,16,hit
1950,43.006,261.6255653,1.0,0,0.0,stim_maj_4,sub21,melody,2024-04-09,17-05-14,1,0,1,1,-43.006,experiment,1671,111,2,16,miss
1960,47.008,261.6255653,1.0,0,0.0,stim_maj_4,sub21,melody,2024-04-09,17-05-14,1,0,1,1,-47.008,experiment,1681,121,2,16,miss
1976,51.004,440.0,17.5,1,51.955,stim_maj_4,sub21,melody,2024-04-09,17-05-14,1,0,1,1,0.9510000000000005,experiment,1697,137,2,16,hit
