,Unnamed: 0,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
118,118,44.0,261.6255653,-35,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.472916667
119,119,44.503,293.6647679,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
120,120,44.753,329.6275569,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
121,121,45.003,349.2282314,-35,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
122,122,45.253,391.995436,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
123,123,45.503,329.6275569,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
124,124,45.765,349.2282314,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
125,125,46.015,293.6647679,-35,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
126,126,46.265,329.6275569,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
127,127,46.511,349.2282314,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
128,128,46.761,391.995436,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
129,129,47.008,261.6255653,-35,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.947916667
130,130,48.004,523.2511306,1,0,0.0,stim_maj_3_b,p05,0,1,1,1,0.235416667
131,131,48.255,587.3295358,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
132,132,48.502,659.2551138,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
133,133,48.752,523.2511306,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
134,134,49.002,391.995436,1,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
135,135,49.252,659.2551138,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
136,136,49.502,587.3295358,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
137,137,49.764,523.2511306,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
138,138,50.014,587.3295358,1,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
139,139,50.264,659.2551138,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
140,140,50.511,698.4564629,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
141,141,50.761,587.3295358,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
142,142,51.001,391.995436,1,0,0.0,stim_maj_3_b,p05,1,0,0,1,0.235416667
143,143,51.258,698.4564629,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
