,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes,time_difference,signal_theory,part
81,46.01,261.6255653,17.5,1,46.604,stim_min_1,p_Zofia,melody,1,0,1,1,0.5940000000000012,hit,main
85,48.003,391.995436,1.0,0,0.0,stim_min_1,p_Zofia,melody,1,1,1,1,-48.003,miss,main
96,53.0,311.1269837,1.0,0,0.0,stim_min_1,p_Zofia,melody,1,0,0,1,-53.0,corr,main
101,56.003,261.6255653,1.0,1,56.716,stim_min_1,p_Zofia,melody,1,1,0,1,0.713000000000001,fa,main
16,6.754,415.3046976,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,1,0,0,1,-6.754,corr,main
39,21.25,391.995436,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,1,1,0,1,-21.25,corr,main
51,28.253,261.6255653,-17.5,1,28.628,stim_min_1,p_Zofia,rhythm,1,1,1,1,0.375,hit,main
61,32.677,261.6255653,1.0,1,33.361,stim_min_1,p_Zofia,rhythm,1,0,1,1,0.6839999999999975,hit,main
66,35.424,261.6255653,17.5,1,35.909,stim_min_1,p_Zofia,rhythm,1,1,1,1,0.48499999999999943,hit,main
73,38.753,391.995436,1.0,1,39.293,stim_min_1,p_Zofia,rhythm,1,0,1,1,0.5399999999999991,hit,main
89,47.764,261.6255653,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,1,0,0,1,-47.764,corr,main
98,51.836,261.6255653,-17.5,0,0.0,stim_min_1,p_Zofia,rhythm,1,0,0,1,-51.836,corr,main
117,60.797,440.0,17.5,1,61.442,stim_min_1,p_Zofia,rhythm,1,0,1,1,0.6450000000000031,hit,main
119,61.536,391.995436,1.0,0,0.0,stim_min_1,p_Zofia,rhythm,1,0,1,1,-61.536,miss,main
